更新时间: 2025-11-22 04:12:09（北京时间）

更新时间,#genre#
2025-11-22 04:12:09,https://kakaxi-1.asia/LOGO/Disclaimer.mp4

央视频道,#genre#
CCTV4,http://183.30.201.128:10002/rtp/239.77.1.163:5146$广东电信
CCTV4,http://183.30.201.128:10002/rtp/239.77.1.166:5146$广东电信
CCTV4,http://113.66.40.9:10000/rtp/239.77.0.78:5146$广东电信
CCTV4,http://113.66.40.9:10000/rtp/239.77.1.163:5146$广东电信
CCTV4,http://113.66.40.9:10000/rtp/239.77.1.166:5146$广东电信
CCTV4,http://116.233.24.207:4022/rtp/239.45.0.2:5140$上海市电信
CCTV4,http://116.233.22.3:4022/rtp/239.45.0.2:5140$上海市电信
CCTV4,http://125.94.172.73:4000/rtp/239.77.0.78:5146$广东电信
CCTV4,http://125.94.172.73:4000/rtp/239.77.1.163:5146$广东电信
CCTV4,http://125.94.172.73:4000/rtp/239.77.1.166:5146$广东电信
CCTV4欧洲,http://113.101.244.51:10000/rtp/239.253.43.120:5146$广东电信
CCTV4欧洲,http://144.255.18.234:6688/rtp/239.21.2.28:5002$山东电信
CCTV4欧洲,http://111.123.121.224:8881/rtp/238.255.2.213:5999$贵州电信
CCTV4欧洲,http://144.255.40.71:7788/rtp/239.21.2.28:5002$山东电信
CCTV4欧洲,http://106.116.241.171:8008/rtp/239.254.201.205:4220$河北省电信
CCTV4欧洲,http://183.30.201.128:10002/rtp/239.253.43.120:5146$广东电信
CCTV4欧洲,http://113.66.40.9:10000/rtp/239.253.43.120:5146$广东电信
CCTV4欧洲,http://125.94.172.73:4000/rtp/239.253.43.120:5146$广东电信
CCTV4美洲,http://113.101.244.51:10000/rtp/239.253.43.121:5146$广东电信
CCTV4美洲,http://111.123.121.224:8881/rtp/238.255.2.214:5999$贵州电信
CCTV4美洲,http://106.116.241.171:8008/rtp/239.254.201.206:4220$河北省电信
CCTV4美洲,http://183.30.201.128:10002/rtp/239.253.43.121:5146$广东电信
CCTV4美洲,http://113.66.40.9:10000/rtp/239.253.43.121:5146$广东电信
CCTV4美洲,http://125.94.172.73:4000/rtp/239.253.43.121:5146$广东电信
CCTV5,http://113.101.244.51:10000/rtp/239.77.0.170:5146$广东电信
CCTV5,http://113.101.244.51:10000/rtp/239.77.1.8:5146$广东电信
CCTV5,http://60.168.230.88:2000/rtp/238.1.78.171:7240$安徽电信
CCTV5,http://144.255.18.234:6688/rtp/239.21.2.46:5002$山东电信
CCTV5,http://116.233.63.135:5555/rtp/239.45.1.69:5140$上海市电信
CCTV5,http://112.87.111.111:4000/rtp/239.49.8.75:8000$江苏电信
CCTV5,http://223.167.245.20:8001/rtp/239.45.1.69:5140$上海市电信
CCTV5,http://59.61.211.240:4022/rtp/239.61.3.35:9728$福建省电信
CCTV5,http://111.123.121.224:8881/rtp/238.255.2.134:5999$贵州电信
CCTV5,http://115.205.146.96:9999/rtp/233.50.200.108:5140$浙江电信
CCTV5,http://115.205.146.96:9999/rtp/233.50.201.194:5140$浙江电信
CCTV5,http://180.157.233.109:4022/rtp/239.45.1.69:5140$上海市电信
CCTV5,http://144.255.40.71:7788/rtp/239.21.2.46:5002$山东电信
CCTV5,http://180.173.153.19:9999/rtp/239.45.1.69:5140$上海市电信
CCTV5,http://106.116.241.171:8008/rtp/239.254.201.153:7206$河北省电信
CCTV5,http://116.231.170.130:8001/rtp/239.45.1.69:5140$上海市电信
CCTV5,http://183.30.201.128:10002/rtp/239.77.0.170:5146$广东电信
CCTV5,http://183.30.201.128:10002/rtp/239.77.1.8:5146$广东电信
CCTV5,http://113.66.40.9:10000/rtp/239.77.0.170:5146$广东电信
CCTV5,http://113.66.40.9:10000/rtp/239.77.1.8:5146$广东电信
CCTV5,http://116.233.24.207:4022/rtp/239.45.1.69:5140$上海市电信
CCTV5,http://116.233.22.3:4022/rtp/239.45.1.69:5140$上海市电信
CCTV5,http://125.94.172.73:4000/rtp/239.77.0.170:5146$广东电信
CCTV5,http://125.94.172.73:4000/rtp/239.77.1.8:5146$广东电信
CCTV5+,http://113.101.244.51:10000/rtp/239.77.0.87:5146$广东电信
CCTV5+,http://113.101.244.51:10000/rtp/239.77.1.31:5146$广东电信
CCTV5+,http://60.168.230.88:2000/rtp/238.1.78.237:7768$安徽电信
CCTV5+,http://144.255.18.234:6688/rtp/239.21.1.142:5002$山东电信
CCTV5+,http://112.87.111.111:4000/rtp/239.49.8.18:9610$江苏电信
CCTV5+,http://59.61.211.240:4022/rtp/239.61.2.171:9014$福建省电信
CCTV5+,http://111.123.121.224:8881/rtp/238.255.2.185:5999$贵州电信
CCTV5+,http://115.205.146.96:9999/rtp/233.50.201.220:5140$浙江电信
CCTV5+,http://144.255.40.71:7788/rtp/239.21.1.142:5002$山东电信
CCTV5+,http://106.116.241.171:8008/rtp/239.254.200.46:8004$河北省电信
CCTV5+,http://183.30.201.128:10002/rtp/239.77.0.87:5146$广东电信
CCTV5+,http://183.30.201.128:10002/rtp/239.77.1.31:5146$广东电信
CCTV5+,http://113.66.40.9:10000/rtp/239.77.0.87:5146$广东电信
CCTV5+,http://113.66.40.9:10000/rtp/239.77.1.31:5146$广东电信
CCTV5+,http://125.94.172.73:4000/rtp/239.77.0.87:5146$广东电信
CCTV5+,http://125.94.172.73:4000/rtp/239.77.1.31:5146$广东电信
CCTV6,http://113.101.244.51:10000/rtp/239.77.0.171:5146$广东电信
CCTV6,http://113.101.244.51:10000/rtp/239.77.1.9:5146$广东电信
CCTV6,http://60.168.230.88:2000/rtp/238.1.78.172:7248$安徽电信
CCTV6,http://144.255.18.234:6688/rtp/239.21.2.47:5002$山东电信
CCTV6,http://116.233.63.135:5555/rtp/239.45.1.70:5140$上海市电信
CCTV6,http://112.87.111.111:4000/rtp/239.49.8.76:8000$江苏电信
CCTV6,http://223.167.245.20:8001/rtp/239.45.1.70:5140$上海市电信
CCTV6,http://59.61.211.240:4022/rtp/239.61.3.36:9734$福建省电信
CCTV6,http://111.123.121.224:8881/rtp/238.255.2.135:5999$贵州电信
CCTV6,http://115.205.146.96:9999/rtp/233.50.200.109:5140$浙江电信
CCTV6,http://180.157.233.109:4022/rtp/239.45.1.70:5140$上海市电信
CCTV6,http://144.255.40.71:7788/rtp/239.21.2.47:5002$山东电信
CCTV6,http://180.173.153.19:9999/rtp/239.45.1.70:5140$上海市电信
CCTV6,http://106.116.241.171:8008/rtp/239.254.201.154:7207$河北省电信
CCTV6,http://116.231.170.130:8001/rtp/239.45.1.70:5140$上海市电信
CCTV6,http://183.30.201.128:10002/rtp/239.77.0.171:5146$广东电信
CCTV6,http://183.30.201.128:10002/rtp/239.77.1.9:5146$广东电信
CCTV6,http://113.66.40.9:10000/rtp/239.77.0.171:5146$广东电信
CCTV6,http://113.66.40.9:10000/rtp/239.77.1.9:5146$广东电信
CCTV6,http://116.233.24.207:4022/rtp/239.45.1.70:5140$上海市电信
CCTV6,http://116.233.22.3:4022/rtp/239.45.1.70:5140$上海市电信
CCTV6,http://125.94.172.73:4000/rtp/239.77.0.171:5146$广东电信
CCTV6,http://125.94.172.73:4000/rtp/239.77.1.9:5146$广东电信
CCTV7,http://113.101.244.51:10000/rtp/239.77.0.138:5146$广东电信
CCTV7,http://113.101.244.51:10000/rtp/239.77.1.159:5146$广东电信
CCTV7,http://60.168.230.88:2000/rtp/238.1.78.239:7784$安徽电信
CCTV7,http://144.255.18.234:6688/rtp/239.21.1.152:5002$山东电信
CCTV7,http://116.233.63.135:5555/rtp/239.45.3.56:5140$上海市电信
CCTV7,http://112.87.111.111:4000/rtp/239.49.0.126:8000$江苏电信
